Geographical region,Country of nationality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Other,South Georgia and South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0
EU 14,Spain,10,7,14,6,3,5,10,1,4,2,1,0
Asia South,Sri Lanka,"40,466","44,550","42,392","40,132","40,863","42,633","35,761","27,834","27,763","26,764","29,922","30,636"
Other,St. Helena (British),0,5,0,1,0,0,0,0,0,0,0,0
America Central and South,St. Kitts and Nevis,29,34,25,37,25,25,36,67,53,90,133,170
America Central and South,St. Lucia,358,390,333,341,243,185,138,118,112,109,171,123
America Central and South,St. Maarten (Dutch Part),z,z,z,z,z,z,0,0,0,0,0,0
America Central and South,St. Martin (French Part),0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,St. Vincent and the Grenadines,183,211,177,165,122,131,98,103,96,73,72,65
Other,Stateless,"2,356","2,204","1,737","1,500","1,210","1,022",760,461,296,268,269,307
Africa North,Sudan,"9,669","10,958","10,682","9,204","8,917","9,759","9,479","9,271","9,123","8,818","8,772","8,979"
Africa Sub-Saharan,Sudan (South),z,z,z,z,z,z,0,0,297,289,358,376
America Central and South,Surinam,258,201,281,182,146,135,114,147,177,111,129,97
Europe Other,Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0
Africa Sub-Saharan,Swaziland,500,248,165,111,421,485,370,452,362,360,380,368
EU 14,Sweden,32,10,6,11,5,4,7,2,0,1,0,3
Europe Other,Switzerland,5,35,19,9,1,3,5,1,2,2,3,1
Middle East,Syria,"7,842","9,020","7,023","7,661","8,785","8,028","8,395","6,983","7,563","7,905","11,204","12,487"
Asia East,Taiwan,"38,228","41,387","37,770","30,483","6,504","4,418","4,416","5,217","5,054","5,107","5,199","5,094"
Asia Central,Tajikistan,428,435,427,459,358,425,375,447,446,464,380,420
Africa Sub-Saharan,Tanzania,"9,348","8,934","9,108","8,566","7,331","6,337","6,068","5,928","5,875","6,188","5,775","5,427"
Asia South East,Thailand,"45,034","43,915","46,331","46,545","51,002","56,883","62,319","63,996","72,913","71,532","71,368","79,366"
Africa Sub-Saharan,Togo,771,703,607,688,549,526,444,453,440,412,428,412
Oceania,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Tonga,38,35,35,25,24,20,21,18,28,32,28,18
America Central and South,Trinidad and Tobago,"1,907","1,602","1,594","1,355","1,054","1,049",703,547,566,539,533,506
Africa North,Tunisia,"5,622","5,282","5,433","4,974","5,023","5,299","5,271","5,957","6,728","6,421","6,912","7,855"
Europe Other,Turkey,"73,182","84,571","86,037","92,527","86,364","97,874","98,701","100,196","108,298","107,281","111,869","119,535"
Asia Central,Turkmenistan,"2,233","1,828","1,413","1,445","1,636","1,532","1,467","1,381","1,078",994,971,862
Other,Turks and Caicos Islands (British),0,2,1,1,0,0,1,0,0,0,1,0
Oceania,Tuvalu,4,0,1,1,0,0,2,0,0,0,2,0
Africa Sub-Saharan,Uganda,"13,657","10,747","10,144","10,840","9,482","8,624","8,140","8,068","7,819","7,852","7,448","7,599"
Europe Other,Ukraine,"34,419","38,806","40,015","36,385","33,656","36,728","42,268","41,479","46,720","40,365","39,487","41,662"
Middle East,United Arab Emirates,"18,412","22,469","19,854","23,967","21,636","25,310","28,416","30,131","40,618","8,992","8,879","7,566"
America North,United States,"32,111","34,271","35,433","38,571","39,939","41,442","38,130","36,881","39,218","39,074","38,208","36,490"
America Central and South,Uruguay,84,81,83,99,80,108,87,72,75,86,120,90
Asia Central,Uzbekistan,"3,570","4,092","6,026","5,230","3,261","2,717","2,862","3,024","3,507","3,465","3,428","3,451"
Oceania,Vanuatu,1,2,6,5,0,2,4,1,2,3,4,3
Europe Other,Vatican City,9,8,12,7,10,6,9,9,5,4,1,0
America Central and South,Venezuela,755,"1,086","1,558","1,501","4,927","3,828","2,450","1,748","1,493","11,784","11,739","7,332"
Asia South East,Vietnam,"6,803","7,512","8,527","9,669","9,073","11,389","13,355","13,426","14,413","14,879","17,815","19,261"
Other,Virgin Islands (British),0,0,0,2,0,0,0,1,0,0,0,1
America North,Virgin Islands (US),0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0
Africa North,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,1
Middle East,Yemen,"4,231","4,647","5,007","4,368","3,864","3,951","3,271","3,304","3,593","3,900","3,567","3,178"
Africa Sub-Saharan,Zambia,"6,049","6,337","6,262","5,624","4,749","4,734","4,493","4,483","4,563","4,150","4,197","3,938"
Africa Sub-Saharan,Zimbabwe,"27,612","22,218","19,145","15,951","13,529","11,806","10,485","10,258","10,343","10,223","12,267","12,349"
